Warwick 1431: balanced orders and products, 2 products per order
30 10
 0 0 0 0 0 0 0 1 0 1
 1 0 0 0 0 0 0 0 1 0
 0 1 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 1 1 0 0
 0 0 0 0 1 0 0 0 0 1
 0 0 0 0 1 0 0 0 1 0
 0 0 0 0 1 0 0 0 0 1
 0 0 0 0 1 0 0 0 1 0
 0 1 0 0 0 1 0 0 0 0
 0 1 1 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 1
 0 1 0 0 0 0 0 1 0 0
 0 0 1 0 0 1 0 0 0 0
 0 0 0 0 0 1 1 0 0 0
 1 0 1 0 0 0 0 0 0 0
 0 0 0 0 1 1 0 0 0 0
 1 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 1 0 0 1
 1 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 1 0 0 0 1
 0 1 0 1 0 0 0 0 0 0
 0 0 1 0 0 0 0 0 1 0
 0 0 0 1 0 0 0 0 1 0
 0 1 0 0 0 0 0 1 0 0
 0 0 1 0 0 0 1 0 0 0
 0 0 0 1 0 0 1 0 0 0
 0 0 0 1 0 1 0 0 0 0
 0 0 1 0 0 0 1 0 0 0
 1 0 0 0 1 0 0 0 0 0
 1 0 0 0 0 0 0 0 1 0

Warwick 1432: balanced orders and products, 2 products per order
30 10
 0 0 0 0 1 0 0 1 0 0
 0 0 0 1 0 0 0 0 0 1
 1 0 1 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 1
 0 0 1 0 0 1 0 0 0 0
 0 0 0 0 1 0 1 0 0 0
 0 0 1 0 0 0 0 0 0 1
 1 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 1 0 1 0 0
 0 0 0 1 0 0 0 1 0 0
 0 1 0 0 0 0 0 1 0 0
 0 0 0 0 1 0 0 1 0 0
 0 0 0 1 0 0 0 0 1 0
 1 0 0 0 0 0 1 0 0 0
 0 0 0 0 1 0 0 0 0 1
 0 1 1 0 0 0 0 0 0 0
 0 1 1 0 0 0 0 0 0 0
 0 0 1 0 0 0 1 0 0 0
 1 0 0 0 1 0 0 0 0 0
 1 1 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 1 0 1 0
 0 0 0 0 0 1 0 0 1 0
 0 0 0 0 0 1 0 0 1 0
 0 1 0 1 0 0 0 0 0 0
 0 0 0 1 0 0 1 0 0 0
 0 0 0 0 0 0 0 0 1 1
 0 0 0 1 0 1 0 0 0 0
 0 0 0 0 1 0 0 0 0 1
 0 0 0 0 0 1 1 0 0 0

Warwick 1433: balanced orders and products, 2 products per order
30 10
 0 0 0 1 0 0 0 0 1 0
 0 0 1 0 0 1 0 0 0 0
 0 0 1 0 0 0 0 0 0 1
 1 0 0 0 0 0 0 1 0 0
 0 0 0 1 0 1 0 0 0 0
 0 0 1 0 0 0 0 0 0 1
 1 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0 0 1 1
 1 1 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 1
 0 0 0 1 0 1 0 0 0 0
 0 0 0 0 1 0 0 1 0 0
 0 1 0 0 0 0 0 0 1 0
 0 1 0 0 0 1 0 0 0 0
 0 0 1 0 0 0 0 1 0 0
 0 1 0 0 0 0 1 0 0 0
 1 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 1 0 1 0 0
 0 0 0 0 1 1 0 0 0 0
 0 0 0 1 0 0 1 0 0 0
 0 0 1 0 1 0 0 0 0 0
 0 0 1 1 0 0 0 0 0 0
 0 0 0 0 1 0 0 0 1 0
 0 1 0 0 0 0 1 0 0 0
 0 0 0 0 1 0 0 0 1 0
 0 0 0 1 0 0 0 0 0 1
 1 0 0 0 0 0 0 0 0 1
 0 1 0 0 0 0 0 1 0 0
 1 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 1 1 0 0

Warwick 1434: balanced orders and products, 2 products per order
30 10
 0 0 0 1 0 0 0 1 0 0
